rank,product_name,category,units_sold,revenue,avg_rating
1,Premium Wireless Headphones,Electronics,1456,48567.89,4.8
2,Smart Watch Pro,Electronics,1234,42345.67,4.7
3,Leather Messenger Bag,Clothing,1123,38456.78,4.6
4,Organic Coffee Blend,Food & Grocery,987,12345.67,4.9
5,Fitness Tracker Elite,Sports,945,28567.89,4.5
6,Bluetooth Speaker Max,Electronics,890,26789.12,4.6
7,Ergonomic Office Chair,Home & Garden,756,34567.89,4.4
8,Running Shoes Ultra,Sports,712,21345.67,4.7
9,Vitamin D Supplements,Health,678,8567.89,4.3
10,Stainless Steel Water Bottle,Sports,645,6789.12,4.5
